Entity,Code,Year,"Meat, poultry | 00002734 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, beef | 00002731 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, sheep and goat | 00002732 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, pig | 00002733 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, Other | 00002735 || Food available for consumption | 0645pc || kilograms per year per capita",Fish and seafood | 00002960 || Food available for consumption | 0645pc || kilograms per year per capita
Kuwait,KWT,2021,50.949986,13.059997,14.279996,0.41999987,2.6099992,14.759996
Kyrgyzstan,KGZ,2021,7.849998,15.649996,9.939997,2.0999994,3.479999,0.8599998
Land Locked Developing Countries (FAO),,2021,5.19,10.38,3.92,2.83,1.21,4.71
Laos,LAO,2021,6.450004,8.790006,0.38000026,14.150009,0.06000004,25.560017
Latvia,LVA,2021,25.33992,4.969984,0.32999897,42.95986,0.35999888,24.599922
Least Developed Countries (FAO),,2021,3.67,3.9,2.06,1.91,0.67,11.63
Lebanon,LBN,2021,21.720015,12.540009,1.4100009,0.6600005,0,9.090007
Lesotho,LSO,2021,10.479935,2.8299825,0.38999757,5.279968,2.739983,2.8199825
Liberia,LBR,2021,12.489995,0.71999973,0.40999982,4.999998,1.6399993,4.179998
Libya,LBY,2021,38.41,4.48,6.18,0.08,0.87,20.19
Lithuania,LTU,2021,24.82998,5.419996,0.41999966,52.219963,0.65999955,29.199978
Low Income Food Deficit Countries (FAO),,2021,3.76,6.03,2.65,1.63,1.09,5.75
Low-income countries,,2021,2.8011947,3.6659358,2.6641119,1.8364654,1.0749327,5.034462
Lower-middle-income countries,,2021,6.625299,4.284791,1.3811285,2.2951384,0.49546236,12.262497
Luxembourg,LUX,2021,18.829706,30.679522,1.1099826,34.34946,0.829987,31.649506
Macao,MAC,2021,38.54966,13.559881,1.1199902,54.449524,1.2799888,69.2094
Madagascar,MDG,2021,3.0699997,1.1899999,0.15999998,0.66999996,0.28999996,3.7899997
Malawi,MWI,2021,5.4199996,3.0599997,3.2999997,15.649999,0,9.569999
Malaysia,MYS,2021,49.66,7.39,0.98,7.25,0.01,52.74
Maldives,MDV,2021,17.599697,9.30984,1.1599799,0.65998864,0.07999862,80.42861
Mali,MLI,2021,2.7099988,2.5899987,0.87999964,0.06999997,1.5699993,8.4299965
Malta,MLT,2021,24.239954,17.369968,0.83999836,24.649952,0.6999987,30.73994
Mauritania,MRT,2021,7.5499825,6.9299836,12.679971,,5.2299876,8.269981
Mauritius,MUS,2021,40.93962,6.299942,2.6599755,3.5199676,0.7199934,28.829735
Mexico,MEX,2021,38.47,15.250001,0.84000003,20.25,0.61,13.870001
Micronesia (FAO),,2021,36.61,7.94,0.41,18.64,0.39,61.22
Micronesia (country),FSM,2021,42.155155,7.7491093,0.12998505,20.317665,0.0099988505,48.164463
Middle Africa (FAO),,2021,3.99,4.58,2.3,2.42,1.58,8.94
Moldova,MDA,2021,24.657022,2.6439157,0.100401856,24.096445,0.3095724,14.658672
Mongolia,MNG,2021,5.4299965,26.509985,64.77996,2.2199988,16.609991,1.0599993
Montenegro,MNE,2021,18.470116,12.500079,1.8500118,55.52035,0.07000045,15.580099
Morocco,MAR,2021,17.499996,7.7599983,5.029999,0.019999994,1.7699995,18.329994
Mozambique,MOZ,2021,5.6399994,0.74999994,0.089999996,3.8899996,0.009999999,13.089998
Myanmar,MMR,2021,12.169998,2.5999994,0.21999995,4.989999,0,40.59999
